ds,ADA,BTC,SOL,XLM,XRP,portfolio_total
2020-08-14,-1.5838742356215925,377.0377348458677,-59.056434613838256,1.6226400318527407,9.558854383848825,327.5789204121095
2020-08-15,-1.1187616871682524,380.9695585854446,-57.160613670404125,2.271322873333754,10.738711096982199,335.7002171981881
2020-08-16,-0.7003939373636197,386.40936442102117,-56.032468531888554,2.544422579198936,11.209255545975608,343.4301800769435
2020-08-17,-0.4169799517391868,396.7288364798182,-56.0052623329167,2.770687227410493,12.196529929312225,355.2738113518851
2020-08-18,-0.08167749848193208,396.20934060489196,-55.74521791375599,3.041697837566517,12.877846680411944,356.3019897106325
2020-08-19,0.38305978654024664,412.04866718792823,-52.990235687565566,3.3667315263867015,13.50208146931382,376.3103042826034
2020-08-20,0.7655609610258994,406.35205787283974,-51.51343882807572,3.6852692411286747,14.205625612319649,373.49507485923823
2020-08-21,1.1077969855665646,409.10316860018713,-50.365315238480655,4.05514618551835,14.783906573534694,378.6847031063261
2020-08-22,1.470670311912266,410.0428100703807,-47.45613613367784,4.616504699732504,15.733804178535987,384.40765312688364
2020-08-23,1.7563215811101507,412.2705782241896,-45.409054070633964,4.790379282292685,15.884780016065724,389.29300503302426
2020-08-24,1.8785652338804342,419.2197519078794,-44.57004387757247,4.906955928872545,16.46997313634813,397.90520232940804
2020-08-25,2.0268456588260686,415.2412973809585,-43.61581532167301,5.059479153626735,16.67612388453436,395.3879307562727
2020-08-26,2.281831858040821,427.60838743079375,-40.292426083669675,5.259061706301851,16.76356782092564,411.6204227323924
2020-08-27,2.43542560529325,418.50507630326103,-38.37877286060191,5.447136724621627,16.881835674173146,404.8907014467471
2020-08-28,2.5335399163826215,417.99485916360146,-36.928728887314236,5.683552308271784,16.84077881557986,406.12400131652146
2020-08-29,2.6412996165335234,415.89703314193287,-33.85360543262411,6.110470081174232,17.152559767291933,407.94775717430844
2020-08-30,2.665252990583661,415.3860459144514,-31.775336822303014,6.150899109145905,16.662337845430134,409.0891990373081
2020-08-31,2.5237087134329492,419.96427748230695,-31.036548273719646,6.136908847305347,16.618916030518456,414.20726279984405
2020-09-01,2.4105921577781557,414.04415640623455,-30.308630473662504,6.163495755706243,16.224223865320205,408.5338377113767
2020-09-02,2.410941540793846,424.95107118467837,-27.330543973131082,6.243359604856498,15.7528908944964,422.027719251694
2020-09-03,2.3208213122235404,414.910760746645,-25.87252530329522,6.3193299266111325,15.36745839510668,413.0458450772911
2020-09-04,2.1900119123525235,414.01694424973925,-24.978456934532545,6.452443002995074,14.889159593073936,412.5701018236283
2020-09-05,2.0871298153194884,412.10712666531623,-22.54857238293823,6.785831050186079,14.839617189883295,413.27113233776686
2020-09-06,1.9217687411792685,412.36177312607737,-21.192889847820545,6.743254744808211,14.071295960063939,413.90520272430825
2020-09-07,1.6147778510193573,418.2772923519436,-21.241527735876375,6.657322252802845,13.837982314493823,419.1458470343832
2020-09-08,1.3620723182953753,414.2487131350355,-21.353020457050505,6.623368617758585,13.344169427343491,414.2253030413824
2020-09-09,1.2500976826454169,427.57348615967345,-19.25335252978739,6.654250517252461,12.864604146324389,429.0890859761083
2020-09-10,1.0757259606559761,420.4400567365272,-18.69987848199242,6.692795642025267,12.559543023324993,422.068242880541
2020-09-11,0.8889428307419587,422.8969217105326,-18.723886956852485,6.799905752780269,12.245645170011477,424.1075285072138
2020-09-12,0.7579796127645119,424.73005325861067,-17.213477382873943,7.118473651837664,12.437846292899426,427.8308754332384
2020-09-13,0.5914803575696777,429.06382383353537,-16.7671404545444,7.071943772242454,11.98004537729087,431.9401528860939
2020-09-14,0.3088189393959353,439.3358109273589,-17.704194463693703,6.992558133471205,12.115868012622757,441.04886154915516
2020-09-15,0.10396029937256136,439.88130314030985,-18.673195364364528,6.975260199636545,12.038375699580133,440.3257039745345
2020-09-16,0.06098571589229236,457.9388785683448,-17.39103888701723,7.032510470755937,12.00996704009193,459.65130290806775
